Data of census 2001 of Pune Municipal Corporation Published by CENSUS OF INDIA ,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Area of town/ward in  -243.049.sq km,Column22,Column23
Name of Town/Ward,No of House Holds,Total Population (includin instituional) and Houseless Population,,,Scheduled Castes,,,Schedules Tribes,,,Literates,,,illiterates,,,Total Population in the age group (0-6),,,Ward office name,Ward Name in English,Ward Name in Marathi,
,,Population,Male,Female,Population,Male,Female,Population,Male,Female,Population,Male,Female,Population,Male,Female,Population,Male,Female,,,,
Ward No.85,3077,15045,7594,7451,3202,1620,1582,109,54,55,10738,5821,4917,4307,1773,2534,1794,922,872,Bibvewadi,Mira Housing Society,Bibvewadi,मिरा हौऊसिंग सोसायटी. बिबवेवाडी,
 Ward No.86,3490,17510,9153,8357,2346,1205,1141,178,91,87,12041,6826,5215,5469,2327,3142,2263,1173,1090,Bibvewadi,M.N.P Vehical Depot ,Bibvewadi,म.न.पा व्हेर्इकल डेपो.बिबवेवाडी,
 Ward No.87,2408,11719,5945,5774,324,171,153,51,26,25,10152,5275,4877,1567,670,897,1040,524,516,Sahakarnagar,Adhinath Society,Sahakarnagar,आदिनाथ सोसायटी. सहकारनगर,
 Ward No.88,2277,11564,5826,5738,1472,735,737,140,64,76,8833,4807,4026,2731,1019,1712,1260,603,657,Sahakarnagar,MitraMandal Colony,Sahakarnagar,मित्रमंडळ कॅलनी. सहकारनगर,
 Ward No.89,2317,10842,5469,5373,1319,657,662,88,42,46,8625,4633,3992,2217,836,1381,1092,543,549,Sahakarnagar,Parvati Gavthan,Sahakarnagar,पर्वती गांवठाण. सहकारनगर,
 Ward No.90,1862,9393,4856,4537,1201,612,589,70,32,38,7644,4165,3479,1749,691,1058,956,529,427,Tilakroad,Swarget Police Line,Tilakroad,स्वारगेट पोलीस लार्इन. टिळक रोड,
Ward No.91,2684,12149,6117,6032,1135,573,562,58,33,25,10185,5351,4834,1964,766,1198,976,519,457,Tilakroad,Sarasbaug,Tilakroad,सारसबाग. टिळकरोड,
Ward No.92,3045,12449,6295,6154,190,103,87,39,19,20,11068,5757,5311,1381,538,843,820,410,410,Vishrambaug,Bharat Natyamandir,Vishrambaugwada,भरत नाट्यमंदीर विश्रामबाग वाडा,
Ward No.93,3014,12879,6450,6429,985,497,488,47,23,24,10873,5650,5223,2006,800,1206,1038,525,513,Tilakroad,S.P.Collage,Tilakroad,एस.पी.कॉलेज. टिळक रोड,
Ward No.94,3084,13562,6902,6660,1116,568,548,78,37,41,11029,5880,5149,2533,1022,1511,1324,705,619,Tilakroad,Rajedra,Tilakroad,रोजेंद्र नगर .टिळक रोड,
